"V1","V2","V3"
0.02526193356639,0.0062738169180673,0.0146386891436173
0.0186031284405507,0.010640446149639,0.0277058703490099
0.0136587786605296,0.0219095723564324,0.0239931196950487
0.0292413315177857,0.0425915603172891,0.0334321043660735
0.0182570903551693,0.0131332583518889,0.0158652011666905
0.0368503463877054,0.0490075764494625,0.0439743917692093
0.0529394040904463,0.0508172027004369,0.0312659005721472
0.0144740194000232,0.0460421166649365,0.0273252244122465
0.0224109709123409,0.0464923246621239,0.146902649691148
0.0620761463484335,0.0185560093061092,0.0376907383628637
0.106996880796675,0.115615908872605,0.113452655732927
0.0798631810318071,0.0829959063205664,0.021943043139574
0.117698397666889,0.100396522703445,0.110884119486592
0.0256761188026529,0.263321288140336,0.0252007781195921
