"V1","V2","V3"
0.0316950882258239,0.031446700788768,0.0228643613430993
0.0308003662939558,0.0325577501140918,0.0224315728225474
0.0326157347965122,0.0319584627526868,0.0224600828770218
0.0333604584302011,0.0326632117730588,0.0220609029336386
0.0352167279009576,0.0351082410048716,0.0222596245166442
0.0381869552565035,0.0365652550324488,0.0220292933847359
0.040898555919824,0.0401006868938992,0.0215054538571422
0.0445307221372556,0.0425331647211584,0.0209247351710081
0.0520946872774384,0.0533815341628164,0.0210443354168252
0.0590138953567297,0.0600531800500091,0.022145578157634
0.0712276669849672,0.0720677932550374,0.0213128767775664
0.08721830741863,0.0872089314128724,0.0214101137585773
0.109006347610222,0.109650433838473,0.0208842253586065
0.2239525012369,0.222190747630647,0.0209733886467401
