"V1","V2","V3"
2.2028456285883e-125,1.98275488773844e-134,0
1.046966303782e-143,9.50234896123012e-132,0
1.29357334961171e-133,8.15995666524454e-129,0
3.0334682459138e-123,1.40389380767811e-118,0
1.16587311764031e-112,3.14264937958887e-110,0
2.99348269983819e-105,3.17216973161312e-107,0
7.63906840493135e-88,5.05997558065306e-88,0
1.05827664268243e-73,1.39076151753408e-67,0
2.80305964649149e-49,2.91439415097962e-49,0
9.47974622938897e-40,6.81635628550709e-43,0
1.41489778248337e-25,1.05314558977054e-27,0
1.14674331274888e-19,3.95815164520894e-21,0
2.98452572030288e-11,3.20310701920188e-12,0
0.00179351802511638,0.00145641517573241,0
