"V1","V2","V3"
1.17999999999999,1.15,1.34099999999998
1.13099999999999,1.14099999999999,1.266
1.15300000000001,1.17999999999999,1.276
1.29100000000001,1.26099999999999,1.43100000000002
1.26999999999999,1.304,1.38400000000001
1.47700000000001,1.51700000000003,1.51700000000003
1.70700000000004,1.66599999999999,1.47499999999998
2.15100000000001,2.16200000000001,1.44800000000002
3.07700000000007,3.053,1.48499999999998
3.93800000000007,3.96999999999992,1.52500000000002
5.42399999999998,5.43999999999994,1.46100000000001
7.97699999999991,7.92000000000006,1.50999999999999
13.2019999999998,13.4509999999997,1.53899999999999
49.9669999999992,50.4250000000007,1.58500000000002
