"V1","V2","V3"
5.36100258274484e-131,1.52618886167376e-126,0
3.84738578119518e-130,1.00304978519112e-121,0
1.44980192011856e-128,7.92193989164856e-118,0
1.5618050474546e-111,2.85599783566582e-114,0
7.738579483884e-118,5.09754512523415e-111,0
4.22513974016335e-107,5.73214271829419e-100,0
2.12195956870219e-96,3.65337507498968e-90,0
8.17631777931862e-77,1.60343073480304e-70,0
1.15920213709305e-52,3.97359622422507e-50,0
3.95227943889443e-38,1.69628198194857e-38,0
1.80573069898812e-28,1.87776277913072e-26,0
4.1266145698628e-20,3.2698629807061e-20,0
4.87188643450265e-12,8.0737297732512e-12,0
0.00228880921918393,0.00189468808260884,0
