"V1","V2","V3"
0.0334702431784172,0.0337383592590396,0.0191294778172554
0.0335045130267652,0.0327752938026041,0.0194241880612655
0.0349529518431082,0.0347746995840849,0.0192693999085117
0.0357525085914224,0.0360331095384383,0.02012418419324
0.0361799791079307,0.0361968780283013,0.0193252508442313
0.0384726021737629,0.037102084485903,0.0193225083116044
0.0415113562145495,0.0408529474248611,0.0196123286039375
0.0476082535238434,0.0454055964990901,0.0191569494620561
0.0545513356049634,0.0546899695790883,0.0191429086014073
0.0620704118167153,0.0624400714541109,0.0184627367347765
0.0720391868334773,0.0719152714989486,0.0189823761819594
0.0871224055818505,0.088179496297688,0.0184492858855034
0.112703497825238,0.111741442746956,0.0181783796213803
0.229393381758422,0.228025087501426,0.0183521601055674
