"V1","V2","V3"
0.0227787764634679,0.0391520121669773,0.0342011439296999
0.0259059291859135,0.0174831994548258,0.0202183302658135
0.0282559585971142,0.0127284241130197,0.0450659883020111
0.0134690958732747,0.0417400876326331,0.0281130562701754
0.013915275000303,0.00943626397931927,0.0157141784790256
0.0325775509555708,0.024706508450709,0.0189438180663902
0.0375302807829496,0.0629025005109468,0.0286777886856565
0.0120397639181064,0.0111467955062181,0.0563290362581239
0.035138402263598,0.0369625863002704,0.00508709726056633
0.0249886808897951,0.0450333618096803,0.0224053821531551
0.015847316795778,0.118526660939614,0.0375117782256487
0.0152267714382086,0.0207679546087096,0.124534286623084
0.0387688321764121,0.128343652374521,0.0128690533072932
0.0452391200320872,0.353228521864093,0.102987158465292
